,TimeToExp,UnderlyingPrice,TargetPrice,OpenInterest,Delta,Gamma,Theta,Vega,BSAprox
0,827.0,138.66,39.12,133.0,-0.8765021311717467,0.052474315916729644,-4.578248425055005,15.334991476792379,0.0
1,1045.0,113.58,45.38,228.0,-0.11885234680804668,0.0020010831122255664,-7.851140153759747,3.742773381816152,6.48
2,395.0,194.28,27.86,937.0,-0.7561085961562578,0.0005962783733911769,-1.0445379137761874,0.43167508201913,0.0
3,563.0,112.4,45.66,109.0,-0.19635467688208297,0.012452498846445819,-4.211470974964616,12.599266805598315,7.64
4,980.0,145.38,37.53,72.0,-0.4174016267998353,0.01248789417002964,-0.11228221486886522,7.5361772957685815,0.0
5,350.0,112.29,45.66,393.0,-0.7640243636123865,0.029808149841109337,-1.302660868592704,2.8491186793707404,7.73
6,464.0,46.29,74.0,339.0,-0.9508889427527232,0.03704330927925573,-22.37805459822831,0.4394049263758439,74.02
7,81.0,130.89,41.0,113.0,-0.30839377241718235,0.070107267774676,-11.301000496343242,1.5255540563540735,0.0
8,599.0,171.81,32.16,23.0,-0.6655843531720712,0.08278445175496912,-6.152493152445692,32.02778377504342,0.0
9,236.0,45.66,75.0,252.0,-0.1974572797284292,0.023832182057624933,-3.0689203173373567,1.5555064323515888,74.5
10,791.0,187.74,29.12,341.0,-0.21886479980425977,0.024169675326514123,-1.1470837410921026,0.8676663439707875,0.0
11,353.0,46.12,74.0,111.0,-0.12130021899741228,0.01871601333279224,-2.2991201814203106,0.0037348176138765872,74.11
12,782.0,163.89,33.72,44.0,-0.8675005577606157,0.05433828183006347,-2.8508598900657045,7.281265668179173,0.0
13,208.0,148.02,36.88,7.0,-0.6998581038489758,0.0017432181481809633,-3.0253189724094773,20.115439644210714,0.0
14,697.0,160.86,34.34,1307.0,-0.061933537720059384,0.0029384260171495392,-5.292095897017579,2.3745433314085727,0.0
15,296.0,102.27,48.56,515.0,-0.9028114706438757,0.006533086106114602,-2.319970331744557,0.13858200074558225,17.77
16,1022.0,117.7,44.31,205.0,-0.6650009129349345,0.0029345047726055075,-1.3534981755568791,2.5665370928999978,2.32
17,418.0,50.67,71.0,341.0,-0.8894085714692888,0.0017646325768327722,-4.189525302176679,2.8612426649714977,69.6
18,555.0,103.94,48.25,398.0,-0.3253036869434426,0.0014585339612450845,-5.484622444308332,5.930637107799632,16.14
19,24.0,49.88,71.62,334.0,-0.22136691917932794,0.014953714496131176,-4.730203047987075,12.089593862637612,70.15
20,916.0,51.48,70.31,432.0,-0.61977809215885,0.04028004863072742,-9.236551298357218,0.4068588859708689,69.09
21,517.0,178.02,30.8,49.0,-0.09049599394870422,0.0013546243755263216,-5.537958689002722,13.472753431150581,0.0
22,265.0,183.67,29.86,228.0,-0.08597887585922204,0.006668584960997936,-14.419950928343555,19.409437741989368,0.0
23,263.0,191.83,28.41,165.0,-0.04027449472769806,0.04222761346349075,-12.328488881277368,15.922531379251843,0.0
24,265.0,185.29,29.5,335.0,-0.12800462988571948,0.005475000606556195,-0.28431534777088646,3.1668559597202854,0.0
